,Unnamed: 0,City,PD,State,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
 more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
 nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests,county
10,10,Birmingham,Birmingham Police Department,AL,4.0,,,,,3.0,,7,"212,237","155,258","44,819",361,"2,132",48,2180,150,"1,765","7,704",62.56,52,24.5,4.7,3.7,9.6,0.0,0.38,0,2852.0,3369.0,3707.0,,,4025.0,3488.3,16.4,,,,,,,#DIV/0!,,"Jefferson County, AL"
11,11,Boston,Boston Police Department,MA,9.0,1.0,,1.0,,,1.0,12,"617,594","138,073","290,312","1,227","54,846",182,55028,"10,078","14,959","107,917",69.17,53,8.6,2.8,9.3,0.0,1.3,No White People were Killed by Police,No White People were Killed by Police,5037.0,4749.0,4702.0,4767.0,4570.0,4324.0,4691.5,7.6,12716.0,13647.0,11423.0,10247.0,9994.0,8843.0,10830.8,11.1,"Suffolk County, MA"
12,12,Buffalo,Buffalo Police Department,NY,1.0,2.0,,,,,,3,"261,310","97,637","119,801","1,597","8,313",79,8392,445,"5,919","27,519",65.89,60,23.0,1.6,1.5,0.0,10.4,#DIV/0!,#DIV/0!,3249.0,3174.0,2887.0,2857.0,2611.0,2692.0,2911.7,11.1,14774.0,12893.0,12354.0,10937.0,10050.0,10720.0,11390.8,2.6,"Erie County, NY"
13,13,Chandler,Chandler Police Department,AZ,,3.0,,,,2.0,,5,"236,123","10,580","145,724","2,715","19,119",365,19484,369,"5,443","51,808",17.24,1,0.4,3.0,0.0,2.0,8.3,0,4.22,575.0,466.0,490.0,558.0,647.0,606.0,557.0,2.4,6257.0,6105.0,6256.0,6151.0,6660.0,6538.0,6342,7.9,"Maricopa County, AZ"
14,14,Charlotte,Charlotte-Mecklenburg Police Department,NC,12.0,2.0,,,1.0,5.0,1.0,21,"731,424","252,007","329,545","2,250","36,115",436,36551,"1,960","13,423","95,688",53.4,47,6.4,4.1,6.8,2.2,3.0,3.14,1.38,5093.0,5054.0,5948.0,6560.0,6304.0,6482.0,5906.8,8.1,19087.0,23669.0,25305.0,23740.0,23632.0,22021.0,23673.4,8.9,"Mecklenburg County, NC"
15,15,Chesapeake,Chesapeake Police Department,VA,2.0,,,,,,,2,"222,209","65,204","134,251",720,"6,289",147,6436,266,"5,626","9,706",41.66,10,4.5,1.3,4.4,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,737.0,991.0,897.0,969.0,1006.0,979.0,929.8,4.2,9177.0,8084.0,5919.0,3500.0,4080.0,5149.0,5346.4,3.7,"Chesapeake County, VA"
16,16,Chicago,Chicago Police Department,IL,56.0,13.0,,,,2.0,5.0,76,"2,695,598","872,286","854,717","4,097","144,903",557,145460,"4,227","35,949","778,862",82.48,411,15.2,4.0,9.2,0.3,2.4,27.44,7.13,25688.0,24133.0,24698.0,30193.0,29737.0,27420.0,26978.2,10.0,112862.0,100346.0,84215.0,61507.0,57523.0,78737.0,76465.6,9.9,"Cook County, IL"
17,17,Chula Vista,Chula Vista Police Department,CA,,1.0,,,,1.0,,2,"243,916","9,972","49,641",600,"33,581","1,105",34686,360,"6,591","142,066",22.05,7,2.9,1.2,0.0,2.9,1.0,0,0.35,595.0,612.0,705.0,696.0,808.0,835.0,708.5,2.9,3935.0,3426.0,4019.0,4601.0,4118.0,4213.0,4075.4,4.9,"San Diego County, CA"
18,18,Cincinnati,Cincinnati Polce Department,OH,8.0,1.0,,,,3.0,,12,"296,943","132,307","142,831",549,"5,434",168,5602,721,"6,625","8,308",53.42,60,20.2,5.8,8.6,3.0,17.2,2.88,5.73,2826.0,2695.0,2761.0,2720.0,2833.0,2535.0,2728.3,9.2,,,,,6971.0,6694.0,6832.5,17.6,"Hamilton County, OH"
19,19,Cleveland,Cleveland Police Department,OH,9.0,,,,,1.0,,10,"396,815","208,208","132,710",997,"7,213",70,7283,599,"7,484","39,534",69.02,63,15.9,3.6,6.2,1.1,0.0,5.74,0,5751.0,5186.0,,6299.0,5999.0,5576.0,5762.2,14.5,9245.0,8519.0,6441.0,3883.0,4417.0,3834.0,5418.8,18.5,"Cuyahoga County, OH"
20,20,Colorado Springs,Colorado Springs Police Department,CO,2.0,2.0,,,,10.0,1.0,15,"416,427","24,391","294,598","2,403","12,206","1,092",13298,768,"14,103","66,866",34.71,20,4.8,5.1,11.7,4.8,4.3,2.42,0.88,1893.0,2039.0,1983.0,2301.0,2479.0,2617.0,2218.7,5.3,17106.0,20316.0,22020.0,20489.0,21462.0,16670.0,20191.4,7.4,"El Paso County, CO"
21,21,Columbus,Columbus Division of Police,OH,27.0,,,,,11.0,1.0,39,"787,033","217,694","466,615","1,643","31,734",462,32196,"2,032","22,494","44,359",53.8,83,10.5,7.1,17.7,3.4,0.0,5.26,0,1022.0,4563.0,4631.0,4500.0,4478.0,4416.0,3935.0,5.0,12745.0,8663.0,9942.0,10092.0,9412.0,10954.0,9812.6,39.7,"Franklin County, OH"
22,22,Corpus Christi,Corpus Christi Police Department,TX,1.0,5.0,,,,1.0,,7,"305,215","11,912","101,593",792,"5,398",204,5602,369,"2,766","182,181",40.15,27,8.8,3.3,12.0,1.4,3.9,8.53,2.79,1939.0,2094.0,2092.0,2328.0,2313.0,2488.0,2209.0,7.2,16900.0,17443.0,19278.0,19747.0,16655.0,16238.0,17872.2,3.9,"Nueces County, TX"
23,23,Dallas,Dallas Police Department,TX,15.0,11.0,,,,12.0,2.0,40,"1,197,816","294,159","345,205","3,167","33,609",311,33920,"1,824","12,232","507,309",66.13,116,9.7,4.8,7.3,5.0,3.1,1.47,0.62,8330.0,8457.0,9038.0,10071.0,10369.0,10422.0,9447.8,7.9,46332.0,33225.0,26666.0,34498.0,31372.0,29772.0,31106.6,12.9,"Dallas County, TX"
24,24,Washington,DC Metropolitan Police Department,DC,16.0,,,,,1.0,2.0,19,"601,723","301,053","209,464","1,322","20,818",216,21034,"1,451","12,650","54,749",72.18,31,5.2,4.5,7.6,0.7,0.0,11.13,0,7880.0,7810.0,8084.0,7711.0,6584.0,6613.0,7447.0,12.4,41630.0,41186.0,36219.0,44175.0,53028.0,47147.0,44351,4.3,"District of Columbia County, DC"
25,25,Denver,Denver Police Department,CO,1.0,13.0,1.0,2.0,,9.0,4.0,30,"600,158","58,388","313,012","3,525","19,925",495,20420,"1,208","12,640","190,965",54.69,298,49.7,7.1,2.4,4.1,9.7,0.6,2.37,4087.0,3983.0,4599.0,4597.0,4774.0,5262.0,4550.3,7.6,22343.0,29752.0,30118.0,29993.0,29372.0,29520.0,29751,10.1,"Denver County, CO"
26,26,Detroit,Detroit Police Department,MI,7.0,1.0,,,,,5.0,13,"713,777","586,573","55,604","1,927","7,436",82,7518,994,"12,482","48,679",59.17,21,2.9,2.6,1.7,0.0,2.9,#DIV/0!,No White People were Killed by Police,14504.0,13616.0,11846.0,13705.0,13796.0,13478.0,13490.8,18.9,14737.0,13383.0,10849.0,10883.0,9701.0,10734.0,11110,11.7,"Wayne County, MI"
27,27,Durham,Durham Police Department,NC,5.0,1.0,,,,1.0,,7,"228,330","92,285","86,519",611,"11,478",129,11607,616,"4,233","32,459",47.92,21,9.2,4.4,7.7,1.7,4.4,4.69,2.67,,1834.0,2185.0,,,,2009.5,8.8,5793.0,5699.0,4663.0,3546.0,3772.0,4596.0,4455.2,15.7,"Durham County, NC"
28,28,El Paso,El Paso Police Department,TX,2.0,7.0,,,,5.0,2.0,16,"649,121","18,155","92,426","1,633","7,092",737,7829,543,"4,814","523,721",30.84,12,1.8,3.5,15.7,7.7,1.9,2.04,0.25,2522.0,2671.0,2515.0,2682.0,2609.0,2554.0,2592.2,4.0,20469.0,19539.0,18192.0,16874.0,16838.0,16264.0,17541.4,9.1,"El Paso County, TX"
29,29,Fort Wayne,Fort Wayne Police Department,IN,5.0,1.0,,,,3.0,,9,"253,691","38,514","178,436",730,"8,279",91,8370,542,"6,899","20,200",54.29,48,18.9,5.1,18.5,2.4,7.1,7.72,2.94,949.0,816.0,984.0,1040.0,952.0,1024.0,960.8,3.8,,5331.0,5054.0,5365.0,5694.0,5897.0,5468.2,16.5,"Allen County, IN"
30,30,Fort Worth,Fort Worth Police Department,TX,9.0,5.0,,,,6.0,7.0,27,"741,206","136,941","309,312","2,481","27,095",615,27710,993,"11,301","252,468",54.99,1,0.1,5.2,9.4,2.8,2.8,3.39,1.02,4440.0,4492.0,4382.0,4515.0,5359.0,4835.0,4670.5,6.3,32694.0,19452.0,26640.0,24587.0,23168.0,19863.0,22742,11.9,"Tarrant County, TX"
31,31,Fremont,Fremont Police Department,CA,1.0,1.0,,2.0,,1.0,2.0,7,"214,089","6,743","56,766",458,"107,679","1,064",108743,388,"9,293","31,698",22.04,47,22.0,4.7,21.2,2.5,4.5,8.42,1.79,273.0,284.0,337.0,420.0,431.0,502.0,374.5,1.7,2913.0,3040.0,2566.0,2422.0,2405.0,2741.0,2634.8,26.6,"Alameda County, CA"
32,32,Fresno,Fresno Police Department,CA,1.0,15.0,,2.0,,4.0,1.0,23,"494,665","37,885","148,598","3,127","60,939",663,61602,984,"10,414","232,055",42.01,5,1.0,6.6,3.8,3.8,9.2,0.98,2.4,2552.0,2382.0,2871.0,3206.0,2974.0,2953.0,2823.0,5.7,30580.0,32118.0,25068.0,19212.0,19070.0,22527.0,23599,9.7,"Fresno County, CA"
33,33,Garland,Garland Police Department,TX,2.0,1.0,,1.0,,3.0,1.0,8,"226,876","32,164","83,259",789,"21,162",65,21227,308,"3,345","85,784",25.05,13,5.7,5.0,8.9,5.1,1.7,1.73,0.32,514.0,644.0,709.0,767.0,748.0,659.0,673.5,3.0,8597.0,8147.0,7561.0,6973.0,6958.0,7060.0,7339.8,10.9,"Dallas County, TX"
34,34,Glendale,Glendale Police Department,CA,2.0,3.0,,,,5.0,,10,"226,721","12,766","116,866","2,707","8,618",355,8973,329,"4,579","80,501",39.14,23,10.1,6.3,22.4,6.1,5.3,3.66,0.87,905.0,186.0,943.0,1204.0,1217.0,1167.0,937.0,4.1,4530.0,3477.0,3692.0,,2949.0,5405.0,3880.75,25.8,"Los Angeles County, CA"
35,35,Greensboro,Greensboro Police Department,NC,1.0,,,1.0,,1.0,,3,"269,666","108,233","122,888","1,096","10,711",128,10839,703,"5,571","20,336",56.62,3,1.1,1.6,1.3,1.2,0.0,1.14,0,1449.0,1346.0,1707.0,,,,1500.7,5.6,18013.0,16273.0,13601.0,11536.0,13247.0,10665.0,13064.4,2.3,"Guilford County, NC"
36,36,Henderson,Henderson Police Department,NV,1.0,2.0,,,,3.0,1.0,7,"257,729","12,471","177,039","1,182","18,172","1,354",19526,479,"8,655","38,377",20.75,6,2.3,3.9,11.5,2.4,7.4,4.73,3.08,367.0,452.0,476.0,617.0,554.0,583.0,508.2,2.0,9279.0,9139.0,8954.0,9846.0,9414.0,12111.0,9892.8,7.1,"Clark County, NV"
37,37,Hialeah,Hialeah Police Department,FL,1.0,2.0,,,,1.0,,4,"224,669","6,066","9,511",73,697,2,699,119,253,"69,599",41.5,16,7.1,2.5,23.6,15.0,4.1,1.57,0.27,774.0,782.0,767.0,580.0,473.0,533.0,651.5,2.9,9403.0,8456.0,7950.0,7153.0,5026.0,6160.0,6949,5.8,"Miami-Dade County, FL"
38,38,Honolulu,Honolulu Police Department,HI,,3.0,,1.0,10.0,4.0,2.0,20,"953,206","26,690","171,577",517,"409,879","91,508",501387,,"215,424","95,321",30.28,242,25.4,3.0,0.0,3.3,4.5,0,1.35,,,2437.0,3331.0,2440.0,2451.0,2664.8,2.8,,,,,,,#DIV/0!,,"Honolulu County, HI"
39,39,Houston,Houston Police Department,TX,33.0,19.0,,1.0,,11.0,3.0,67,"2,099,451","485,956","537,901","3,528","124,859",711,125570,"4,128","22,700","919,668",68.57,136,6.5,4.6,9.7,2.9,3.0,3.32,1.01,20993.0,22008.0,21994.0,23960.0,25609.0,24062.0,23104.3,11.0,85551.0,65821.0,56317.0,57867.0,47449.0,43036.0,54098,12.4,"Harris County, TX"
40,40,Indianapolis,Indianapolis Metropolitan Police Department,IN,16.0,,,,,10.0,,26,"820,445","223,053","480,960","1,760","17,053",274,17327,"2,123","17,870","77,352",55.87,0,0.0,4.5,10.2,3.0,0.0,3.45,0,10479.0,10768.0,11124.0,11907.0,11616.0,11170.0,11177.3,13.6,39493.0,33825.0,39620.0,37235.0,40668.0,34286.0,37126.8,7.0,"Marion County, IN"
41,41,Irvine,Irvine Police Department,CA,,,,,,,,0,"212,375","3,494","95,822",199,"82,722",295,83017,554,"9,668","19,621",18.75,5,2.4,0.0,0.0,0.0,0.0,No People were Killed by Police,No People were Killed by Police,113.0,120.0,144.0,152.0,169.0,160.0,143.0,0.7,2742.0,2500.0,2988.0,3337.0,2782.0,2064.0,2734.2,0.0,"Orange County, CA"
42,42,Irving,Irving Police Department,TX,2.0,2.0,,1.0,,2.0,,7,"216,290","25,550","66,559",807,"30,161",221,30382,434,"3,591","88,967",36.65,96,44.4,4.6,11.2,4.3,3.2,2.61,0.75,530.0,512.0,469.0,521.0,549.0,510.0,515.2,2.4,10329.0,7077.0,5831.0,5281.0,5464.0,5854.0,5901.4,11.9,"Dallas County, TX"
43,43,Jacksonville,Jacksonville Sheriff's Office,FL,20.0,,,,,16.0,3.0,39,"821,784","247,516","452,525","2,687","34,731",668,35399,"1,949","18,223","63,485",47.54,24,2.9,6.8,11.5,5.1,0.0,2.29,0,5246.0,5853.0,5622.0,5504.0,5648.0,5381.0,5542.3,6.7,25922.0,25439.0,25969.0,24883.0,24313.0,26230.0,25366.8,15.4,"Duval County, FL"
44,44,Jersey City,Jersey City Police Department,NJ,8.0,,,,,,,8,"247,597","59,060","53,236",586,"58,106",95,58201,"2,423","5,835","68,256",58.69,78,31.5,4.6,19.4,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,1655.0,1381.0,1383.0,1276.0,1365.0,1233.0,1382.2,5.6,8239.0,7334.0,7670.0,7732.0,6071.0,2972.0,6355.8,12.6,"Hudson County, NJ"
45,45,Kansas City,Kansas City Police Department,MO,17.0,,,,1.0,7.0,3.0,28,"459,787","135,916","252,257","1,823","11,275",787,12062,709,"11,067","45,953",62.23,14,3.0,8.7,17.9,4.0,0.0,4.51,0,5864.0,5862.0,6709.0,7915.0,8362.0,7842.0,7092.3,15.4,11828.0,12336.0,10886.0,10629.0,10710.0,10796.0,11071.4,25.3,"Jackson County, MO"
46,46,Laredo,Laredo Police Department,TX,,7.0,,,,1.0,,8,"236,091",478,"8,086",87,"1,313",11,1324,121,245,"225,750",29.02,122,51.7,4.8,0.0,17.7,4.4,0,0.25,1027.0,976.0,972.0,940.0,839.0,890.0,940.7,4.0,8202.0,8125.0,8196.0,6945.0,4564.0,5991.0,6764.2,11.8,"Webb County, TX"
47,47,Las Vegas,Las Vegas Metropolitan Police Department,NV,12.0,14.0,1.0,1.0,,27.0,4.0,59,"2,027,868","62,008","279,703","2,391","34,606","3,103",37709,"1,101","16,985","183,859",32.44,20,1.0,4.2,27.6,13.8,10.9,2,0.79,11374.0,12876.0,14383.0,13520.0,10071.0,9949.0,12028.8,5.9,78230.0,70950.0,65575.0,67664.0,68602.0,75653.0,69688.8,8.5,"Clark County, NV"
48,48,Lexington,Lexington Police Department,MA,1.0,,,,,2.0,,3,"295,803","42,336","216,072",599,"9,506",107,9613,546,"6,163","20,474",40.93,7,2.4,1.4,3.4,1.3,0.0,2.55,0,946.0,1041.0,1044.0,1079.0,1131.0,982.0,1037.2,3.5,9189.0,8202.0,13310.0,13034.0,17257.0,19232.0,14207,2.1,"Middlesex County, MA"
49,49,Lincoln,Lincoln Police Department,NE,2.0,,,,,1.0,,3,"258,379","9,541","214,739","1,611","9,711",128,9839,353,"6,114","16,182",32.16,23,8.9,1.7,29.9,0.7,0.0,45.01,0,990.0,918.0,1025.0,1006.0,,1045.0,996.8,3.9,13366.0,14839.0,13518.0,13053.0,,12874.0,13571,2.2,"Lancaster County, NE"
50,50,Long Beach,Long Beach Police Department,CA,7.0,8.0,,4.0,,5.0,,24,"462,257","59,925","135,698","1,349","58,268","4,915",63183,"1,118","12,572","188,412",57.35,260,56.2,7.4,16.7,5.3,6.1,3.17,1.15,2346.0,2304.0,2766.0,2846.0,3101.0,3284.0,2774.5,6.0,18346.0,19109.0,15411.0,14726.0,12145.0,13362.0,14950.6,16.1,"Los Angeles County, CA"
51,51,Los Angeles,Los Angeles Police Department,CA,27.0,71.0,,2.0,,20.0,3.0,123,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822",66.91,56,1.5,4.6,11.1,2.6,5.5,4.22,2.1,16524.0,19171.0,25156.0,28817.0,30507.0,30126.0,25050.2,6.6,90436.0,83187.0,71732.0,68768.0,64440.0,58688.0,69363,17.7,"Los Angeles County, CA"
52,52,Louisville,Louisville Metro Police Department,KY,12.0,,,1.0,,7.0,2.0,22,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790",55.44,12,2.0,5.3,12.7,2.5,0.0,5.18,0,3644.0,4015.0,4315.0,4638.0,4596.0,4232.0,4240.0,7.1,31716.0,34606.0,41338.0,40838.0,42199.0,41453.0,40086.8,5.5,"Jefferson County, KY"
53,53,Lubbock,Lubbock Police Department,TX,,3.0,,,,,,3,"229,573","18,744","127,915",845,"5,471",147,5618,241,"2,585","73,625",47.23,7,3.0,1.9,0.0,0.0,5.8,#DIV/0!,#DIV/0!,1829.0,2084.0,2391.0,2741.0,,2565.0,2322.0,10.1,8861.0,7695.0,8092.0,7679.0,7129.0,7496.0,7618.2,3.9,"Lubbock County, TX"
54,54,Madison,Madison Police Department,WI,3.0,,,,,5.0,,8,"233,209","16,507","176,463",763,"17,126",67,17193,374,"5,961","15,948",36.64,140,60.0,4.9,26.0,4.0,0.0,6.41,0,884.0,846.0,890.0,832.0,958.0,1043.0,908.8,3.9,9265.0,9363.0,9382.0,8324.0,7925.0,8016.0,8602,9.3,"Dane County, WI"
55,55,Memphis,Memphis Police Department,TN,15.0,1.0,,,,4.0,4.0,24,"646,889","408,075","177,735","1,186","10,067",159,10226,742,"6,931","41,994",67.86,13,2.0,5.3,5.3,3.2,3.4,1.63,1.06,10894.0,11399.0,11449.0,11947.0,13077.0,12674.0,11906.7,18.4,47866.0,39655.0,34280.0,31793.0,30103.0,31342.0,33434.6,7.2,"Shelby County, TN"
56,56,Mesa,Mesa Police Department,AZ,,7.0,2.0,,,14.0,2.0,25,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753",29.54,81,18.4,8.1,0.0,7.1,8.6,0,1.22,1807.0,2119.0,1972.0,2051.0,2047.0,1837.0,1972.2,4.5,24509.0,24120.0,25723.0,22995.0,24344.0,20800.0,23596.4,10.6,"Maricopa County, AZ"
57,57,Nashville,Metropolitan Nashville Police Department,TN,6.0,2.0,,,,3.0,,11,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390",49.16,90,15.0,2.6,5.1,1.3,4.7,4,3.74,6612.0,7270.0,7245.0,7371.0,7682.0,7641.0,7303.5,12.1,51672.0,47378.0,45841.0,42771.0,40511.0,35949.0,42490,2.6,"Davidson County, TN"
58,58,Miami,Miami Police Department,FL,3.0,6.0,,,,,2.0,11,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456",75.53,31,7.8,3.9,6.6,0.0,3.1,No White People were Killed by Police,No White People were Killed by Police,4945.0,4473.0,4473.0,3989.0,3338.0,2978.0,4032.7,10.1,31210.0,29208.0,25618.0,24100.0,19213.0,20902.0,23808.2,4.6,"Miami-Dade County, FL"
59,59,Milwaukee,Milwaukee Police Department,WI,14.0,1.0,,,,2.0,,17,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007",70.11,41,6.9,4.1,8.6,1.3,1.4,6.61,1.07,8194.0,8864.0,9583.0,9201.0,9507.0,8416.0,8960.8,15.1,41870.0,32550.0,27082.0,24185.0,24024.0,19057.0,25379.6,6.7,"Milwaukee County, WI"
60,60,Minneapolis,Minneapolis Police Department,MN,5.0,1.0,,1.0,,1.0,,8,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073",50.92,150,39.2,3.0,10.2,0.6,3.6,16.48,5.76,4038.0,4093.0,4395.0,4622.0,4614.0,3395.0,4192.8,11.0,20797.0,17358.0,15019.0,11879.0,11955.0,11652.0,13572.6,5.9,"Hennepin County, MN"
61,61,New Orleans,New Orleans Police Department,LA,10.0,,,,,2.0,,12,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051",67.63,333,96.9,5.0,7.0,2.7,0.0,2.56,0,2965.0,3770.0,3736.0,4249.0,4457.0,4611.0,3964.7,11.5,,,17017.0,20589.0,25089.0,23674.0,21592.25,5.6,"Orleans County, LA"
62,62,New York,New York Police Department,NY,48.0,10.0,,,,9.0,8.0,75,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076",81.41,93,1.1,1.3,3.7,0.5,0.6,7.8,1.3,52384.0,50564.0,50088.0,49124.0,46433.0,46113.0,49117.7,6.0,393809.0,387727.0,339470.0,314864.0,286225.0,246773.0,315011.8,2.4,"New York County, NY"
