county,num_sundown_towns
"Jackson County, WI",1
"Jackson County, ok",1
"Jasper County, IA",1
"Jasper County, IN",2
"Jasper County, MO",4
"Jasper County, TX",1
"Jay County, IN",1
"Jefferson County, AL",1
"Jefferson County, IL",1
"Jefferson County, IN",1
"Jefferson County, KY",8
"Jefferson County, LA",2
"Jefferson County, NE",1
"Jefferson County, TX",3
"Jefferson County, WI",5
"Jefferson County, WV",1
"Jersey County, IL",1
"Jewell County, KS",1
"Johnson County, AR",1
"Johnson County, IL",3
"Johnson County, IN",3
"Johnson County, KY",1
"Johnson County, NE",1
"Josephine County, OR",1
"Juneau County, WI",3
"Kalamazoo County, MI",4
"Kanawha County, WV",2
"Kankakee County, IL",4
"Kay County, OK",1
"Kearney County, NE",1
"Kearny County, KS",1
"Kendall County, TX",1
"Kenosha County, WI",1
"Kent County, MI",2
"Kenton County, KY",6
"Kern County, CA",4
"Kewaunee County, WI",2
"King County, WA",1
"Kiowa County, KS",1
"Kit Carson County, CO",1
"Knox County, IN",1
"Knox County, MO",1
"Kosciusko County, IN",6
"Kossuth County, IA",1
"La Crosse County, WI",3
"La Plata County, CO",1
"La Salle County, TX",1
"LaGrange County, IN",1
"LaPorte County, IN",2
"LaSalle County, IL",2
"Lafayette County, MO",1
"Lafayette County, WI",2
"Lafourche County, LA",1
"Lake County, IL",5
"Lake County, IN",11
"Lake County, OH",2
"Lamoille County, VT",1
"Lancaster County, NE",1
"Lancaster County, PA",4
"Lane County, KS",1
"Lane County, OR",4
"Langlade County, WI",1
"Latah County, ID",1
"Laurel County, KY",2
"Laurens County, SC",1
"Lavaca County, TX",1
"Lawrence County, AR",3
"Lawrence County, IL",1
"Lawrence County, IN",3
"Lawrence County, MO",3
"Lawrence County, OH",2
"Lawrence County, SD",1
"Le Flore County, OK",1
"Lenawee County, MI",1
"Letcher County, KY",1
"Levy County, FL",2
"Lewis County, KY",1
"Lewis County, WA",1
"Licking County, OH",2
"Lincoln County, KS",1
"Lincoln County, NE",1
"Lincoln County, OK",1
"Lincoln County, OR",1
"Lincoln County, SD",1
"Lincoln County, WI",2
"Linn County, OR",2
"Litchfield County, CT",3
"Livingston County, IL",1
"Livingston County, MI",3
"Logan County, AR",3
"Logan County, IL",1
"Logan County, OH",1
"Logan County, OK",1
"Lonoke County, AR",1
"Lorain County, OH",5
"Los Angeles County, CA",21
"Loudon County, TN",1
"Lucas County, OH",2
"Lumpkin County, GA",1
"Lyon County, MN",1
"Macomb County, MI",7
"Macon County, IL",5
"Macon County, MO",1
"Macon County, TN",1
"Macoupin County, IL",7
"Madison County, IA",1
"Madison County, IL",10
"Madison County, IN",7
"Madison County, NC",1
"Madison County, OH",1
"Magoffin County, KY",1
"Mahoning County, OH",2
"Manatee County, FL",2
"Manitowoc County, WI",3
"Marathon County, WI",6
"Maricopa County, AZ",3
"Maries County, MO",1
"Marin County, CA",2
"Marinette County, WI",3
"Marion County, IA",1
"Marion County, IL",4
"Marion County, IN",2
"Marion County, Il",1
"Marion County, KS",2
"Marion County, OR",1
"Marquette County, MI",2
"Marquette County, WI",1
"Marshall County, AL",1
"Marshall County, IL",3
"Marshall County, IN",4
"Marshall County, KS",2
"Marshall County, KY",2
"Marshall County, OK",1
"Marshall County, WV",1
"Martin County, IN",2
"Martin County, MN",1
"Mason County, IL",1
"Mason County, WA",1
"McClain County, OK",1
"McDonald County, MO",1
"McDonough County, IL",1
"McDowell County, WV",1
"McHenry County, IL",3
"McKean County, PA",1
"McLean County, IL",5
"McLean County, KY",1
"McMinn County, TN",1
"McPherson County, KS",1
"Meade County, KS",1
"Medina County, OH",1
"Meigs County, OH",1
"Menard County, IL",2
"Menominee County, MI",1
"Mercer County, IL",2
"Mercer County, MO",1
"Mercer County, OH",3
"Mercer County, PA",1
"Merrick County, NE",1
"Merrimack County, NH",1
"Mesa County, CO",1
"Miami County, IN",1
"Miami County, OH",2
"Miami-Dade County, FL",1
"Middlesex County, CT",1
"Middlesex County, MA",2
"Middlesex County, NJ",1
"Miller County, AR",1
"Miller County, MO",1
"Mills County, IA",2
"Mills County, TX",1
"Milwaukee County, WI",15
"Mississippi County, AR",4
"Mississippi County, MO",1
"Mitchell County, IA",1
"Mitchell County, KS",1
"Mitchell County, NC",2
"Mobile County, AL",1
"Moffat County, CO",1
"Mohave County, Az",1
"Monmouth County, NJ",2
"Monroe County, IL",2
"Monroe County, IN",2
"Monroe County, NY",1
"Monroe County, OH",1
"Monroe County, WI",2
"Montague County, TX",1
"Montgomery County, AR",1
"Montgomery County, IA",1
"Montgomery County, IL",2
"Montgomery County, IN",1
"Montgomery County, KS",1
"Montgomery County, KY",1
"Montgomery County, MD",2
"Montgomery County, OH",4
"Montgomery County, PA",2
"Montgomery County, TX",2
"Moore County, TX",1
"Morgan County, CO",1
"Morgan County, IL",1
"Morgan County, IN",4
"Morris County, NJ",1
"Morrow County, OH",1
"Morton County, KS",1
"Moultrie County, IL",3
"Mower County, MN",1
"Muskogee County, OK",1
"Musselshell County, MT",1
"Napa County, CA",1
"Nassau County, NY",9
"Nemaha County, KS",1
"Nemaha County, NE",1
"Neosho County, KS",1
"Ness County, KS",1
"Nevada County, CA",3
"New Hanover County, NC",1
"New Haven County, CT",2
"New Madrid County, MO",2
"Newaygo County, MI",1
"Newton County, IN",4
"Newton County, MO",2
"Niagara County, NY",1
"Noble County, IN",5
"Noble County, OH",1
"Nobles County, MN",1
"Nodaway County, MO",1
"Norfolk County, MA",3
"Northampton County, PA",1
"Norton County, KS",1
"Oakland County, MI",5
"Ocean County, NJ",1
"Ochiltree County, TX",1
"Oconee County, SC",1
"Oconto County, WI",3
"Ohio County, KY",1
"Okanogan County, WA",1
"Okfuskee County, OK",2
"Oklahoma County, OK",1
"Okmulgee County, OK",2
"Oneida County, NY",1
"Oneida County, WI",1
"Ontonagon County, MI",1
"Orange County, CA",15
"Orange County, FL",1
"Orange County, IN",1
"Orange County, NY",1
"Orange County, TX",3
"Oregon County, MO",1
"Osage County, KS",2
"Osage County, MO",1
"Osage County, OK",2
"Osceola County, FL",1
"Oswego County, NY",1
"Otoe County, NE",1
"Otsego County, NY",1
"Ottawa County, MI",3
"Ottawa County, OH",1
"Ottawa County, OK",1
"Outagamie County, WI",6
"Ozaukee County, WI",6
"Palm Beach County, FL",1
"Palo Alto County, IA",1
"Park County, WY",1
"Parke County, IN",1
"Passaic County, NJ",1
"Paulding County, OH",2
"Pawnee County, OK",1
"Pender County, NC",1
"Penobscot County, ME",2
"Peoria County, IL",2
"Pepin County, WI",1
"Perry County, AR",1
"Perry County, IL",2
"Perry County, IN",2
"Perry County, MO",1
"Perry County, OH",3
"Pershing County, NV",1
"Phelps County, MO",1
"Piatt County, IL",4
"Pickaway County, OH",1
"Pierce County, NE",1
"Pierce County, WA",1
"Pierce County, WI",3
"Pike County, AR",2
"Pike County, IN",2
"Pike County, KY",1
"Pike County, OH",1
"Pinellas County, Fl",1
"Piscataquis County, ME",1
"Pittsburg County, OK",1
"Placer County, CA",4
"Pleasants County, WV",1
"Plumas County, CA",1
"Plymouth County, IA",1
"Pocahontas County, WV",1
"Polk County, AR",3
"Polk County, IA",2
"Polk County, MO",1
"Polk County, OR",1
"Polk County, TN",2
"Polk County, WI",2
"Pontotoc County, OK",1
"Pope County, AR",3
"Pope County, IL",1
"Poquoson County, VA",1
"Portage County, OH",1
"Portage County, WI",2
"Porter County, IN",6
"Posey County, IN",2
"Pottawattamie County, IA",1
"Powell County, KY",1
"Poweshiek County, IA",1
"Price County, WI",2
"Prince George's County, MD",4
"Providence County, RI",1
"Pulaski County, AR",1
"Pulaski County, IL",1
"Pulaski County, IN",2
"Pulaski County, KY",1
"Pulaski County, MO",2
"Putnam County, IN",1
"Putnam County, MO",1
"Putnam County, NY",1
"Putnam County, OH",1
"Putnam County, TN",3
"Putnam County, WV",1
"Rabun County, GA",1
"Racine County, WI",5
"Randall County, TX",1
"Randolph County, IL",4
"Randolph County, IN",4
"Rankin County, MS",1
"Rawlins County, KS",1
"Redwood County, MN",1
"Reno County, KS",1
"Republic County, KS",1
"Reynolds County, MO",1
"Richland County, IL",1
"Richland County, OH",1
"Richland County, WI",1
"Ripley County, IN",5
"Ripley County, MO",1
"Riverside County, CA",5
"Robertson County, TN",1
"Rock County, WI",5
"Rockcastle County, KY",2
"Rockingham County, NC",1
"Rockingham County, NH",2
"Rockingham County, VA",1
"Roosevelt County, NM",1
"Rowan County, NC",1
"Rush County, KS",1
"Rusk County, WI",1
"Russell County, KS",1
"Russell County, KY",1
"Rutland County, VT",1
"Sacramento County, CA",1
"Salem County, NJ",1
"Saline County, AR",1
"Saline County, IL",1
"Saline County, NE",1
"Salt Lake County, UT",2
"San Bernardino County, CA",2
"San Diego County, CA",1
"San Joaquin County, CA",1
"San Juan County, NM",1
"San Juan County, UT",1
"San Luis Obispo County, CA",1
"San Mateo County, CA",3
"Sandoval County, NM",1
"Sandusky County, OH",2
"Sangamon County, IL",10
"Sanilac County, MI",3
"Santa Clara County, CA",2
"Santa Cruz County, CA",1
"Sarasota County, FL",1
"Saratoga County, NY",1
"Sauk County, WI",5
"Saunders County, NE",1
"Sawyer County, WI",1
"Schoolcraft County, MI",1
"Schuylkill County, PA",2
"Scioto County, OH",3
"Scotland County, MO",1
"Scott County, AR",1
"Scott County, IA",1
"Scott County, IN",2
"Scott County, KS",1
"Scott County, MO",2
"Scott County, TN",1
"Scott County, VA",1
"Scotts Bluff County, NE",1
"Searcy County, AR",2
"Sebastian County, AR",3
"Sedgwick County, KS",3
"Sequatchie County, TN",1
"Sequoyah County, OK",1
"Sevier County, TN",1
"Sharp County, AR",3
"Sharp County, Ar",1
"Shasta County, CA",1
"Shawano County, WI",1
"Sheboygan County, WI",6
"Shelby County, IA",1
"Shelby County, IL",2
"Shelby County, IN",1
"Sheridan County, KS",1
"Shiawassee County, MI",1
"Shoshone County, ID",1
"Sioux County, IA",2
"Smith County, KS",1
"Smith County, MS",1
"Somerset County, MD",2
"Somerset County, ME",1
"Somerset County, NJ",1
"Somervell County, TX",1
"Spencer County, IN",2
"Spink County, SD",1
"St. Clair County, IL",3
"St. Clair County, Il",1
"St. Clair County, MI",3
"St. Croix County, WI",4
"St. Francois County, MO",3
"St. Joseph County, IN",5
"St. Joseph County, MI",1
"St. Landry County, LA",1
"St. Louis County, MO",4
"Stafford County, KS",1
"Stark County, OH",2
"Starke County, IN",2
"Starr County, TX",2
"Stearns County, MN",1
"Stephens County, OK",2
"Steuben County, IN",1
"Stevens County, wa",1
"Stoddard County, MO",3
"Stokes County, NC",1
"Stone County, AR",1
"Stone County, MO",2
"Strafford County, NH",3
"Suffolk County, NY",3
"Sullivan County, IN",4
"Sullivan County, MO",1
"Sullivan County, NH",1
"Sullivan County, NY",1
"Summit County, OH",7
"Sumner County, KS",3
"Sussex County, DE",1
"Sutter County, CA",1
"Sweetwater County, WY",1
"Sweetwater County, Wy",1
"Swift County, MN",1
"Switzerland County, IN",1
"Talbot County, MD",1
"Taney County, MO",1
"Taos County, NM",1
"Tarrant County, TX",3
"Taylor County, IA",3
"Taylor County, WI",1
"Tazewell County, IL",5
"Tazewell County, VA",1
"Tehama County, CA",2
"Teton County, MT",1
"Texas County, MO",2
"Texas County, OK",1
"Thomas County, KS",1
"Throckmorton County, TX",1
"Thurston County, WA",1
"Tillamook County, OR",1
"Tippecanoe County, IN",1
"Tipton County, IN",2
"Tishomingo County, MS",2
"Tolland County, CT",1
"Transylvania County, NC",1
"Trempealeau County, WI",4
"Trumbull County, OH",4
"Tulare County, CA",2
"Tulsa County, OK",4
"Tuolumne County, CA",1
"Tuscarawas County, OH",1
"Tuscola County, MI",2
"Twin Falls County, ID",1
"Umatilla County, OR",1
"Unicoi County, TN",1
"Union County, GA",1
"Union County, IL",4
"Union County, NJ",1
"Union County, OR",1
"Utah County, UT",1
"Van Buren County, AR",1
"Van Buren County, MI",1
"Van Zandt County, TX",1
"Vanderburgh County, IN",1
"Ventura County, CA",1
"Vermilion County, IL",4
"Vermillion County, IN",2
"Vernon County, LA",3
"Vernon County, WI",2
"Vigo County, IN",2
"Vilas County, WI",1
"Volusia County, FL",1
"Wabash County, IN",4
"Walker County, AL",1
"Walla Walla County, WA",1
"Walworth County, WI",9
"Warren County, IL",1
"Warren County, IN",1
"Warren County, OH",1
"Warren County, PA",1
"Wasco County, OR",1
"Waseca County, MN",1
"Washburn County, WI",2
"Washington County, AR",5
"Washington County, IL",6
"Washington County, IN",3
"Washington County, Il",1
"Washington County, KS",1
"Washington County, MN",1
"Washington County, OH",1
"Washington County, VT",1
"Washington County, WI",4
"Washita County, OK",1
"Waukesha County, WI",14
"Waupaca County, WI",6
"Waushara County, WI",1
"Wayne County, IL",2
"Wayne County, IN",5
"Wayne County, MI",12
"Wayne County, MO",1
"Wayne County, OH",1
"Wayne County, TN",1
"Wayne County, WV",1
"Webster County, KY",1
"Webster County, MO",2
"Weld County, CO",1
"Wells County, IN",2
"Westchester County, NY",2
"Westmoreland County, PA",1
"Wetzel County, WV",1
"Wexford County, MI",1
"Whatcom County, WA",1
"Wheeler County, TX",1
"White County, AR",2
"White County, IL",4
"White County, IN",5
"White Pine County, NV",1
"Whiteside County, IL",2
"Whitley County, IN",4
"Whitley County, KY",1
"Wichita County, KS",1
"Wichita County, TX",1
"Will County, IL",8
"Will County, Il",1
"Williams County, OH",2
"Williamson County, IL",4
"Williamson County, TN",1
"Wilson County, KS",1
"Windham County, Ct",1
"Windham County, VT",1
"Winnebago County, IL",1
"Winnebago County, WI",5
"Wise County, TX",1
"Wise County, VA",1
"Wood County, OH",1
"Wood County, TX",1
"Wood County, WI",4
"Woodford County, IL",4
"Woods County, OK",1
"Woodson County, KS",1
"Worcester County, MA",1
"Worth County, MO",1
"Wright County, IA",3
"Wright County, MO",1
"Wyandot County, OH",2
"Wyoming County, NY",1
"Yamhill County, OR",1
"Yavapai County, AZ",1
"Yellow Medicine County, MN",1
"York County, ME",1
"York County, PA",1
"Yuba County, CA",2
